No.,English,Arabic
1,Al Fatihah ,سورة الفاتحة 
2,Al Baqarah ,سورة البقرة 
50,Al 'Imran,سورة آل عمران
77,"An Nisa"" ",سورة النساء
106,"Al Ma""idah ",سورة المائدة
128,Al An'am ,سورة الأنعام
151,Al A'raf ,سورة الأعراف
177,Al Anfal ,سورة الأنفال
187,At Tawbah ,سورة التوبة
208,Yunus ,سورة يونس
221,Hud ,سورة هود
235,Yusuf ,سورة يوسف
249,Ar Ra'd ,سورة الرّعد
255,Ibrahim ,سورة إبراهيم
262,Al Hijr ,سورة الحجر
267,An Nahl,سورة النحل
282,"Al Isra"" ",سورة الإسراء
293,Al Kahf,سورة الكهف
305,Maryam ,سورة مريم
312,Ta Ha,سورة طه
322,"Al Anbiya"" ",سورة الأنبياء
332,Al Hajj,سورة الحج
342,"Al Mu""minun ",سورة المؤمنون
350,An Nur ,سورة النّور
359,Al Furqan ,سورة الفرقان
367,"Ash Shu'ara""",سورة الشعراء
377,An Naml,سورة النمل
385,Al Qasas,سورة القصص
396,Al 'Ankabut ,سورة العنكبوت
404,Ar Rum ,سورة الروم
411,Luqman ,سورة لقمان
415,As Sajdah,سورة السجدة
418,Al Ahzab ,سورة الأحزاب
428,"Saba"" ",سورة سبإ
434,Fatir ,سورة فاطر
440,Ya Sin ,سورة يس
446,As Saffat ,سورة الصّافّات
453,Sad ,سورة ص
458,Az Zumar ,سورة الزمر
467,Ghafir,سورة غافر
477,Fussilat ,سورة فصّلت
483,Ash-Shura,سورة الشورى
489,Az Zukhruf ,سورة الزخرف
496,Ad Dukhan ,سورة الدخان
499,Al Jathiyah ,سورة الجاثية
502,Al Ahqaf ,سورة الأحقاف
507,Muhammad ,سورة محمّـد
511,Al Fath,سورة الفتح
515,Al Hujurat ,سورة الحُـجُـرات
518,Qaf ,سورة ق
520,Adh Dhariyat ,سورة الذاريات
523,At Tur ,سورة الـطور
526,An Najm ,سورة الـنحـم
528,Al Qamar,سورة الـقمـر
531,Ar Rahman ,سورة الـرحـمـن
534,Al Waqi'ah ,سورة الواقيـة
537,Al Hadid ,سورة الحـديد
542,Al Mujadilah ,سورة الـمجادلـة
545,Al Hashr,سورة الـحـشـر
549,Al Mumtahanah,سورة الـمـمـتـحنة
551,As Saff ,سورة الـصّـف
553,Al Jumu'ah ,سورة الـجـمـعـة
554,Al Munafiqun ,سورة الـمنافقون
556,At Taghabun,سورة الـتغابن
558,At Talaq ,سورة الـطلاق
560,At Tahrim ,سورة الـتحريم
562,Al Mulk ,سورة الـملك
564,Al Qalam ,سورة الـقـلـم
566,Al Haqqah ,سورة الـحاقّـة
568,Al Ma'arij ,سورة الـمعارج
570,Nuh ,سورة نوح
572,Al Jinn ,سورة الجن
574,Al Muzzammil ,سورة الـمـزّمّـل
575,Al Muddaththir ,سورة الـمّـدّثّـر
577,Al Qiyamah,سورة الـقـيامـة
578,Al Insan or Ad Dahar,سورة الإنسان
580,Al Mursalat ,سورة الـمرسلات
582,"An Naba"" ",سورة الـنبإ
583,An Nazi'at ,سورة الـنازعات
585,'Abasa,سورة عبس
586,At-Takwir ,سورة التكوير
587,Al Infitar ,سورة الانفطار
587,Al Mutaffifin ,سورة المطـفـفين
589,Al Inshiqaq,سورة الانشقاق
590,Al Buruj ,سورة البروج
591,At Tariq ,سورة الـطارق
591,Al A'la,سورة الأعـلى
592,Al Ghashiyah,سورة الغاشـيـة
593,Al Fajr,سورة الفجر
594,Al Balad ,سورة الـبلد
595,Ash-Shams ,سورة الـشـمـس
595,Al Layl,سورة اللـيـل
596,Ad Duha,سورة الضـحى
596,Ash Sharh,سورة الـشرح
597,At Tin,سورة الـتين
597,Al 'Alaq ,سورة الـعلق
598,Al Qadr ,سورة الـقدر
598,Al Bayyinah,سورة الـبينة
599,Az-Zalzalah ,سورة الـزلزلة
599,Al 'Adiyat ,سورة الـعاديات
600,Al Qari'ah,سورة الـقارعـة
600,At Takathur,سورة الـتكاثر
601,Al 'Asr,سورة الـعصر
601,Al Humazah,سورة الـهمزة
601,Al Fil,سورة الـفيل
602,Quraysh,سورة قريش
602,Al Ma'un ,سورة المـاعون
602,Al Kawthar ,سورة الـكوثر
603,Al Kafirun ,سورة الـكافرون
603,An Nasr ,سورة الـنصر
603,Al Masad ,سورة الـمسد
604,Al Ikhlas,سورة الإخلاص
604,Al Falaq,سورة الـفلق
604,An Nas ,سورة الـناس
